PubmedID	Genes	Accessions	Refseq_accessions	Authors	Journal	Title
26871637	PNMA2	NP_009188	NM_007257	Yang X, Coulombe-Huntington J, Kang S, Sheynkman GM, Hao T, Richardson A, Sun S, Yang F, Shen YA, Murray RR, Spirohn K, Begg BE, Duran-Frigola M, MacWilliams A, Pevzner SJ, Zhong Q, Trigg SA, Tam S, Ghamsari L, Sahni N, Yi S, Rodriguez MD, Balcha D, Tan G, Costanzo M, Andrews B, Boone C, Zhou XJ, Salehi-Ashtiani K, Charloteaux B, Chen AA, Calderwood MA, Aloy P, Roth FP, Hill DE, Iakoucheva LM, Xia Y and Vidal M.	Cell 164 (4), 805-817 (2016)	Widespread Expansion of Protein Interaction Capabilities by Alternative Splicing
27003254	PNMA2	NP_009188	NM_007257	Lee YH, Pang SW and Tan KO.	Biochem Biophys Res Commun 473 (1), 224-229 (2016)	PNMA2 mediates heterodimeric interactions and antagonizes chemo-sensitizing activities mediated by members of PNMA family
27107012	PNMA1	NP_006020	NM_006029	Yachie N, Petsalaki E, Mellor JC, Weile J, Jacob Y, Verby M, Ozturk SB, Li S, Cote AG, Mosca R, Knapp JJ, Ko M, Yu A, Gebbia M, Sahni N, Yi S, Tyagi T, Sheykhkarimli D, Roth JF, Wong C, Musa L, Snider J, Liu YC, Yu H, Braun P, Stagljar I, Hao T, Calderwood MA, Pelletier L, Aloy P, Hill DE, Vidal M and Roth FP.	Mol Syst Biol 12 (4), 863 (2016)	Pooled-matrix protein interaction screens using Barcode Fusion Genetics
27174469	RTL1	NP_001128360	NM_001134888	Belot MP, Naderi K, Mille C, Boelle PY, Benachi A, Bougneres P and Fradin D.	Pediatr Diabetes 18 (3), 178-187 (2017)	Role of DNA methylation at the placental RTL1 gene locus in type 1 diabetes
27225868	PNMA6F	NP_001341909	NM_001354980	Li Y, Wang X, Cho JH, Shaw TI, Wu Z, Bai B, Wang H, Zhou S, Beach TG, Wu G, Zhang J and Peng J.	J Proteome Res 15 (7), 2309-2320 (2016)	JUMPg: An Integrative Proteogenomics Pipeline Identifying Unannotated Proteins in Human Brain and Cancer Cells
27250503	PNMA6E	NP_001338222,NP_001338223,NP_001354699	NM_001351293,NM_001351294,NM_001367770	Wright JC, Mudge J, Weisser H, Barzine MP, Gonzalez JM, Brazma A, Choudhary JS and Harrow J.	Nat Commun 7, 11778 (2016)	Improving GENCODE reference gene annotation using a high-stringency proteogenomics workflow
27342910	CCDC8	NP_114429	NM_032040	Jiang GY, Zhang XP, Zhang Y, Xu HT, Wang L, Li QC and Wang EH.	Hum Pathol 56, 64-73 (2016)	Coiled-coil domain-containing protein 8 inhibits the invasiveness and migration of non-small cell lung cancer cells
27424190	PNMA5	NP_001096620,NP_001096621,NP_001171853,NP_443158	NM_001103150,NM_001103151,NM_001184924,NM_052926	Lee YH, Pang SW, Poh CL and Tan KO.	J Cancer Res Clin Oncol 142 (9), 1967-1977 (2016)	Distinct functional domains of PNMA5 mediate protein-protein interaction, nuclear localization, and apoptosis signaling in human cancer cells
28424903	ZCCHC12	NP_001299820,NP_776159	NM_001312891,NM_173798	Wang O, Zheng Z, Wang Q, Jin Y, Jin W, Wang Y, Chen E and Zhang X.	J Cancer Res Clin Oncol 143 (9), 1679-1686 (2017)	ZCCHC12, a novel oncogene in papillary thyroid cancer
28502757	RTL1	NP_001128360	NM_001134888	Prats-Puig A, Carreras-Badosa G, Bassols J, Cavelier P, Magret A, Sabench C, de Zegher F, Ibanez L, Feil R and Lopez-Bermejo A.	Am J Obstet Gynecol 217 (3), 350 (2017)	The placental imprinted DLK1-DIO3 domain: a new link to prenatal and postnatal growth in humans
28514442	PNMA1,RTL8A,RTL8B,ZCCHC12	NP_001071640,NP_001071641,NP_001127793,NP_001299820,NP_006020,NP_776159	NM_001078172,NM_001078173,NM_001134321,NM_001312891,NM_006029,NM_173798	Huttlin EL, Bruckner RJ, Paulo JA, Cannon JR, Ting L, Baltier K, Colby G, Gebreab F, Gygi MP, Parzen H, Szpyt J, Tam S, Zarraga G, Pontano-Vaites L, Swarup S, White AE, Schweppe DK, Rad R, Erickson BK, Obar RA, Guruharsha KG, Li K, Artavanis-Tsakonas S, Gygi SP and Harper JW.	Nature 545 (7655), 505-509 (2017)	Architecture of the human interactome defines protein communities and disease networks
28700999	CCDC8	NP_114429	NM_032040	Yang CK, Yu TD, Han CY, Qin W, Liao XW, Yu L, Liu XG, Zhu GZ, Su H, Lu SC, Chen ZW, Liu Z, Huang KT, Liu ZT, Liang Y, Huang JL, Mo ZN, Qin X, Li L, Xiao KY, Peng MH, Winkle CA, O'Brien SJ and Peng T.	Cell Physiol Biochem 42 (4), 1342-1357 (2017)	Genome-Wide Association Study of MKI67 Expression and its Clinical Implications in HBV-Related Hepatocellular Carcinoma in Southern China
29470995	MOAP1	NP_071434	NM_022151	Law J, Kwek I, Svystun O, Lim J, Tan CT, Luong L, Yu VC and Baksh S.	Biochim Biophys Acta Mol Cell Res 1865 (5), 684-694 (2018)	RACK1/TRAF2 regulation of modulator of apoptosis-1 (MOAP-1)
29892012	LDOC1,PNMA1,PNMA5	NP_001096620,NP_001096621,NP_001171853,NP_006020,NP_036449,NP_443158	NM_001103150,NM_001103151,NM_001184924,NM_006029,NM_012317,NM_052926	Chen S, Fragoza R, Klei L, Liu Y, Wang J, Roeder K, Devlin B and Yu H.	Nat Genet 50 (7), 1032-1040 (2018)	An interactome perturbation framework prioritizes damaging missense mutations for developmental disorders
30132384	MOAP1	NP_071434	NM_022151	Chan SJ, Zhao H, Hayakawa K, Chai C, Tan CT, Huang J, Tao R, Hamanaka G, Arumugam TV, Lo EH, Yu VCK and Wong PH.	J Cereb Blood Flow Metab 39 (12), 2406-2418 (2019)	Modulator of apoptosis-1 is a potential therapeutic target in acute ischemic injury
30185825	RTL10	NP_078903	NM_024627	Greaves G, Milani M, Butterworth M, Carter RJ, Byrne DP, Eyers PA, Luo X, Cohen GM and Varadarajan S.	Cell Death Differ 26 (6), 1037-1047 (2019)	BH3-only proteins are dispensable for apoptosis induced by pharmacological inhibition of both MCL-1 and BCL-XL
30565205	RTL3	NP_689907	NM_152694	Alrafiah A, Alghanmi M, Almashhadi S, Aqeel A and Awaji A.	Folia Histochem Cytobiol 56 (4), 215-221 (2018)	The expression of SMN1, MART3, GLE1 and FUS genes in spinal muscular atrophy
30796345	ARC	NP_056008	NM_015193	Park AY, Park YS, So D, Song IK, Choi JE, Kim HJ and Lee KJ.	Sci Rep 9 (1), 2592 (2019)	Activity-Regulated Cytoskeleton-Associated Protein (Arc/Arg3.1) is Transiently Expressed after Heat Shock Stress and Suppresses Heat Shock Factor 1
31002361	LDOC1	NP_036449	NM_012317	Jiang J, Li Y and Jiang Z.	Oncol Rep 41 (6), 3281-3291 (2019)	Effects of LDOC1 on colorectal cancer cells via downregulation of the Wnt/beta-catenin signaling pathway
31064356	MOAP1	NP_071434	NM_022151	Hu JL, Wang W, Lan XL, Zeng ZC, Liang YS, Yan YR, Song FY, Wang FF, Zhu XH, Liao WJ, Liao WT, Ding YQ and Liang L.	Mol Cancer 18 (1), 91 (2019)	CAFs secreted exosomes promote metastasis and chemotherapy resistance by enhancing cell stemness and epithelial-mesenchymal transition in colorectal cancer
31515488	LDOC1,MOAP1,PEG10,PNMA1,PNMA2,PNMA5	NP_001035242,NP_001096620,NP_001096621,NP_001165908,NP_001165909,NP_001171853,NP_001171890,NP_001171891,NP_006020,NP_009188,NP_036449,NP_055883,NP_071434,NP_443158	NM_001040152,NM_001103150,NM_001103151,NM_001172437,NM_001172438,NM_001184924,NM_001184961,NM_001184962,NM_006029,NM_007257,NM_012317,NM_015068,NM_022151,NM_052926	Fragoza R, Das J, Wierbowski SD, Liang J, Tran TN, Liang S, Beltran JF, Rivera-Erick CA, Ye K, Wang TY, Yao L, Mort M, Stenson PD, Cooper DN, Wei X, Keinan A, Schimenti JC, Clark AG and Yu H.	Nat Commun 10 (1), 4141 (2019)	Extensive disruption of protein interactions by genetic variants across the allele frequency spectrum in human populations
31530569	PEG10	NP_001035242,NP_001165908,NP_001165909,NP_001171890,NP_001171891,NP_055883	NM_001040152,NM_001172437,NM_001172438,NM_001184961,NM_001184962,NM_015068	Shapovalova M, Lee JK, Li Y, Vander Griend DJ, Coleman IM, Nelson PS, Dehm SM and LeBeau AM.	Cancer Res 79 (21), 5668-5680 (2019)	PEG10 Promoter-Driven Expression of Reporter Genes Enables Molecular Imaging of Lethal Prostate Cancer
31702614	PEG10	NP_001035242,NP_001165908,NP_001165909,NP_001171890,NP_001171891,NP_055883	NM_001040152,NM_001172437,NM_001172438,NM_001184961,NM_001184962,NM_015068	Xiao H, Ding N, Liao H, Yao Z, Cheng X, Zhang J and Zhao M.	Medicine (Baltimore) 98 (45), e17583 (2019)	Prediction of relapse and prognosis by expression levels of long noncoding RNA PEG10 in glioma patients
31826916	ARC	NP_056008	NM_015193	Colon-Perez LM, Turner SM, Lubke KN, Pompilus M, Febo M and Burke SN.	eNeuro 6 (6) (2019)	Multiscale Imaging Reveals Aberrant Functional Connectome Organization and Elevated Dorsal Striatal Arc Expression in Advanced Age
31842997	LDOC1	NP_036449	NM_012317	Zhao C, Du F, Zhao Y, Wang S and Qi L.	Stem Cell Res Ther 10 (1), 384 (2019)	Acute myeloid leukemia cells secrete microRNA-4532-containing exosomes to mediate normal hematopoiesis in hematopoietic stem cells by activating the LDOC1-dependent STAT3 signaling pathway
31911950	ARC	NP_056008	NM_015193	Cottee MA, Letham SC, Young GR, Stoye JP and Taylor IA.	Sci Adv 6 (1), eaay6354 (2020)	Structure of Drosophila melanogaster ARC1 reveals a repurposed molecule with characteristics of retroviral Gag
32296183	ARC,LDOC1,MOAP1,PNMA1,PNMA2,PNMA3,PNMA5,PNMA6A,RTL8A,RTL8B,ZCCHC12	NP_001071640,NP_001071641,NP_001096620,NP_001096621,NP_001127793,NP_001171853,NP_001269464,NP_001299820,NP_006020,NP_009188,NP_036449,NP_037496,NP_056008,NP_071434,NP_116271,NP_443158,NP_776159	NM_001078172,NM_001078173,NM_001103150,NM_001103151,NM_001134321,NM_001184924,NM_001282535,NM_001312891,NM_006029,NM_007257,NM_012317,NM_013364,NM_015193,NM_022151,NM_032882,NM_052926,NM_173798	Luck K, Kim DK, Lambourne L, Spirohn K, Begg BE, Bian W, Brignall R, Cafarelli T, Campos-Laborie FJ, Charloteaux B, Choi D, Cote AG, Daley M, Deimling S, Desbuleux A, Dricot A, Gebbia M, Hardy MF, Kishore N, Knapp JJ, Kovacs IA, Lemmens I, Mee MW, Mellor JC, Pollis C, Pons C, Richardson AD, Schlabach S, Teeking B, Yadav A, Babor M, Balcha D, Basha O, Bowman-Colin C, Chin SF, Choi SG, Colabella C, Coppin G, D'Amata C, De Ridder D, De Rouck S, Duran-Frigola M, Ennajdaoui H, Goebels F, Goehring L, Gopal A, Haddad G, Hatchi E, Helmy M, Jacob Y, Kassa Y, Landini S, Li R, van Lieshout N, MacWilliams A, Markey D, Paulson JN, Rangarajan S, Rasla J, Rayhan A, Rolland T, San-Miguel A, Shen Y, Sheykhkarimli D, Sheynkman GM, Simonovsky E, Tasan M, Tejeda A, Tropepe V, Twizere JC, Wang Y, Weatheritt RJ, Weile J, Xia Y, Yang X, Yeger-Lotem E, Zhong Q, Aloy P, Bader GD, De Las Rivas J, Gaudet S, Hao T, Rak J, Tavernier J, Hill DE, Vidal M, Roth FP and Calderwood MA.	Nature 580 (7803), 402-408 (2020)	A reference map of the human binary protein interactome
9403077	RTL8A,RTL8B,RTL8C	NP_001071639,NP_001071640,NP_001071641,NP_001127793	NM_001078171,NM_001078172,NM_001078173,NM_001134321	Frattini A, Faranda S, Zucchi I and Vezzoni P.	Genomics 46 (1), 167-169 (1997)	A low-copy repeat in Xq26 represents a novel putatively prenylated protein gene (CXX1) and its pseudogenes (DXS9914, DXS9915, and DXS9916)
